id,pair_id,pair,direction,content_pos,style_pos,shape_label,texture_label,shape_name,texture_name,edge_corr,style_gain,pixel_std,auto_accept,manual_accept
0,0,cat-car,cat->car,441,56,3,2,cat,car,0.3304788470268249,0.6585691273212433,0.2377067357301712,1,
1,0,cat-car,cat->car,271,318,3,2,cat,car,0.7285146117210388,0.4925807118415832,0.2197549045085907,0,
2,0,cat-car,cat->car,135,98,3,2,cat,car,0.6692596077919006,0.5861427187919617,0.1897152215242386,1,
3,0,cat-car,cat->car,236,143,3,2,cat,car,0.8024426698684692,0.5838201940059662,0.3154115378856659,1,
4,0,cat-car,cat->car,413,246,3,2,cat,car,0.6470397114753723,0.6420817375183105,0.2922593057155609,1,
5,0,cat-car,cat->car,445,49,3,2,cat,car,0.5589452981948853,0.6118500232696533,0.2370746731758117,1,
6,0,cat-car,cat->car,180,375,3,2,cat,car,0.6063868999481201,0.6428975760936737,0.2389476001262664,1,
7,0,cat-car,cat->car,71,320,3,2,cat,car,0.5918057560920715,0.6100934743881226,0.2050198167562484,1,
8,0,cat-car,cat->car,484,357,3,2,cat,car,0.526624858379364,0.5333646535873413,0.2614108920097351,1,
9,0,cat-car,cat->car,300,495,3,2,cat,car,0.6297980546951294,0.5636213719844818,0.2747785747051239,1,
10,0,cat-car,cat->car,235,76,3,2,cat,car,0.4138694703578949,0.7917319536209106,0.1185238137841224,1,
11,0,cat-car,cat->car,331,367,3,2,cat,car,0.7005662322044373,0.5641086101531982,0.2366100400686264,1,
12,0,cat-car,cat->car,457,307,3,2,cat,car,0.4616666734218597,0.6628353297710419,0.2227114737033844,1,
13,0,cat-car,cat->car,131,412,3,2,cat,car,0.5927174091339111,0.7074497640132904,0.2229813635349273,1,
14,0,cat-car,cat->car,309,70,3,2,cat,car,0.7877261638641357,0.5116057097911835,0.2394546568393707,1,
15,0,cat-car,cat->car,270,272,3,2,cat,car,0.3239836096763611,0.6475265920162201,0.2752945721149444,1,
16,0,cat-car,cat->car,100,446,3,2,cat,car,0.8102079629898071,0.6134377717971802,0.1806010007858276,1,
17,0,cat-car,cat->car,155,258,3,2,cat,car,0.6408506631851196,0.5903308689594269,0.2077398747205734,1,
18,0,cat-car,cat->car,366,60,3,2,cat,car,0.6164293885231018,0.5406455397605896,0.2203217893838882,1,
19,0,cat-car,cat->car,84,164,3,2,cat,car,0.5620170831680298,0.6509373486042023,0.27496337890625,1,
20,0,cat-car,cat->car,7,97,3,2,cat,car,0.6804904937744141,0.713608980178833,0.25166055560112,1,
21,0,cat-car,cat->car,95,337,3,2,cat,car,0.561596155166626,0.5470772385597229,0.2508898377418518,1,
22,0,cat-car,cat->car,305,277,3,2,cat,car,0.792864203453064,0.6194333434104919,0.2592244744300842,1,
23,0,cat-car,cat->car,184,347,3,2,cat,car,0.7579636573791504,0.5768966376781464,0.3037593364715576,1,
24,0,cat-car,car->cat,318,421,2,3,car,cat,0.6529600024223328,0.6513292193412781,0.2226178050041198,1,
25,0,cat-car,car->cat,277,484,2,3,car,cat,0.6300379037857056,0.5823287665843964,0.1997472494840622,1,
26,0,cat-car,car->cat,320,132,2,3,car,cat,0.4560932517051697,0.7806673496961594,0.1808550953865051,1,
27,0,cat-car,car->cat,204,38,2,3,car,cat,0.6227526068687439,0.4467974901199341,0.2628130912780761,0,
28,0,cat-car,car->cat,337,309,2,3,car,cat,0.4565292596817016,0.8083835393190384,0.1660967171192169,1,
29,0,cat-car,car->cat,375,445,2,3,car,cat,0.4426253736019134,0.7571342587471008,0.1817731857299804,1,
30,0,cat-car,car->cat,332,398,2,3,car,cat,0.5115718841552734,0.8364187330007553,0.1440067440271377,1,
31,0,cat-car,car->cat,299,284,2,3,car,cat,0.8040786981582642,0.7366795837879181,0.2323172390460968,1,
32,0,cat-car,car->cat,103,372,2,3,car,cat,0.5971628427505493,0.8213917165994644,0.2396763414144516,1,
